VariableName,Gas:Facility,Electricity:Facility
KeyValue,,
301,1555221682.2613978,3468349290.263835
302,1418763092.0569153,3468144329.172402
303,1538132780.9969454,3468315634.500212
304,1680614151.9552114,3736781939.855917
305,1989665720.0713189,3423239012.986199
306,2347540986.882492,2706096591.758154
307,2431338842.226339,2618265031.1805716
308,2703791323.234335,2080434043.0400548
309,2756859115.071486,1992564587.422014
310,7886812.385760777,1257685032.3874624
311,15700717.451669587,1079971903.8971717
312,7886981.280364283,856545373.4341059
313,42394168.389464855,863602159.1864747
314,44598401.7444872,862202652.4353744
315,81206442.53649443,863642623.9185382
316,68822262.82358122,906233771.306741
317,116867644.74684852,995694820.5608268
318,3447515370.7142663,1546034052.247936
319,4205236365.49414,1510395433.2726822
320,3478843371.459682,2344408047.5113635
321,3227966820.7273407,2211816461.881223
322,3032413448.375936,2035410140.6768143
323,2904235880.153776,2035127170.5559838
324,2723212573.506541,2034825001.8696847
325,2394856258.651544,2034394676.2489784
326,2761605411.02228,1137750480.6507986
327,2938912435.0448675,1138031238.939594
328,3478157157.847314,1407156976.2237527
329,4072030902.959707,1363512200.0554452
330,15714748.124426665,1252548221.5255837
331,13116791.42499629,1165958173.9506295
332,48423768.52797117,1171606702.082404
333,58978835.361066654,1082223341.4984217
334,72873286.99420851,995648038.9621317
335,97293107.28949602,906269352.6621816
336,104356982.67036693,863690171.1885667
337,412752840.58671886,932670904.7393484
338,454065489.750291,920088979.4142292
339,621267494.8509542,932874831.8126965
340,577594532.3956184,964228050.5131423
341,744748939.633859,1079814138.0023983
342,655370862.7786833,1228350615.1503108
343,763472927.4826729,1206068861.9871018
344,492655679.0768337,1131606232.6473129
345,409733826.71010864,1026877710.5800318
346,342846287.66637516,823424586.4699653
347,308674819.79186684,816375555.7123675
348,285841751.2403955,809333943.0936147
349,278956086.93342125,819118755.7772158
350,258825828.7435691,817682540.0718111
351,330721082.16581607,835958320.5877974
352,401460447.64489836,1091714980.1227987
353,607213766.9562329,1328831937.0628676
354,549689737.9716475,1316186755.7926588
355,680346466.8371785,1240961169.036248
356,571453921.8064792,1228238660.7266014
357,726183066.0561006,1153031063.234634
358,630056403.9317521,1052316316.2750207
359,774459006.0222819,977094150.3478884
360,666591578.3068123,920357410.3753843
361,820576264.5028121,933148726.6953272
362,692784570.6441541,920389375.1913108
363,841946302.729419,933173813.8594066
364,715377434.8469176,964417476.8381078
365,887850290.1458433,1065232202.6055461
366,748885915.2056624,1228467480.4366906
367,892124786.3635294,1206226371.7150066
368,625205657.2492152,1131765008.040605
369,593379961.160383,1012314524.6798205
370,542841317.3159373,823645039.2954552
371,547843152.2578968,836228749.8155975
372,424087034.06203,823485082.1354035
373,463066189.75289,836112814.9690775
374,388258178.493741,823419564.2550837
375,510907854.2669664,836160423.9864603
376,521075546.6056488,1061101824.2701646
377,722418769.1669549,1328987998.1887193
378,639395949.0044869,1316302885.0505693
379,828669076.5669094,1241144339.5560377
380,711319565.5837954,1228408624.487162
381,907744369.3370187,1153261102.277116
382,757461177.644725,1052481979.7225392
383,959594333.0044556,977354478.6595539
384,746965940.50617,1099907305.9841938
385,930942821.0201321,1112729653.0206606
386,773556471.8645583,1099937892.5076902
387,990467277.4653236,1112833399.3631544
388,813497124.8633363,1144011260.2684288
389,1003684779.5645287,1334576915.698773
390,6583368943.814877,1561146241.0896387
391,6493097868.703642,1879850034.6891532
392,4542546524.304503,3784484980.501199
393,3547510481.4883437,3648411951.520655
394,3153191778.0411425,3471277413.9063535
395,2665722586.169295,3472762511.901243
396,2724549256.408449,3293625323.613714
397,2043011611.6271596,3470163273.5017424
398,1872871580.074061,3468755891.5160036
399,1757252205.2334857,3468593547.229786
400,1793548538.4755921,3706136110.4893513
401,2198137108.8655396,3423463111.1734433
402,2800477606.2650304,2706760855.956895
403,2786931168.356682,2618818079.035948
404,3355606886.1018434,2081662468.9314349
405,3420988380.5877104,1993879681.2231169
406,15701730.18588363,1257685053.705106
407,7887086.225408657,1079971915.0669534
408,7886192.484097837,1035972003.932444
409,7886636.798795226,1035972011.7771413
410,15701249.333064295,1035972009.7355744
411,18229346.970172472,1038790997.6364326
412,30660072.92259447,1085612545.753494
413,52204757.53101832,1264752043.7144167
414,4348070372.645874,1547978445.517733
415,4527300118.135496,1870059251.7850025
416,2749791807.38599,3778398696.656014
417,2393890158.6349726,3645653166.908055
418,2135730003.766873,3469271432.0440226
419,1983455350.667764,3469063741.4401
420,2257901213.4689207,3289965778.66209
421,2167415136.5795555,3469269358.6454916
422,2169187381.9110355,3469276454.44044
423,2301632511.4147534,3469483350.323033
424,2372946073.441942,3707120988.135405
425,2479859633.6012855,3424052872.185445
426,2718003488.5079226,2706744084.7214165
427,2738285947.8541584,2618816951.202373
428,3191855720.709018,2081203274.5249696
429,3234831060.9224515,1993316277.0306537
430,15701367.17460046,1257685052.95471
431,7886649.999780778,1079971915.5339
432,7887109.372978576,1035972011.5727435
433,28323517.00601545,1038793349.720088
434,36623909.24367792,1041619085.813018
435,54983183.648682185,1043045254.6413442
436,51255443.92150809,1085637158.8987567
437,83133415.86135392,1264788390.3887048
438,4123383206.9743457,1547400582.4270036
439,4510422986.398255,1869861067.3922355
440,3158528569.1019135,3779154440.944051
441,3021990957.9176683,3646791199.793648
442,2850232022.12878,3470477524.5736732
443,2709616857.7727876,3470217738.345253
444,2809644173.5114923,3290925865.065182
445,2628610262.4705987,3470084487.1162243
446,2597861749.084889,3470048457.674768
447,2584628606.7079096,3470022390.953597
448,2654700662.386657,3707641816.574718
449,2922299846.9686623,3424876205.0970273
450,3306457923.893656,2707910114.041515
451,3445092498.9398146,2620241376.111764
452,3730420643.56095,2082555338.2825348
453,4129144966.988487,1995398142.6236174
454,7886790.862452076,1257685051.5345445
455,32969284.244728003,1084218343.5998473
456,74978933.81523158,1041674247.4169462
457,95294482.31372045,1043118587.70002
458,450681221.09016496,1106588095.6162121
459,561783450.9514858,1099669200.574052
460,849709331.6437186,1156650593.4062624
461,815573756.8802333,1321770206.7721019
462,5357527219.679485,1553446323.8195407
463,7305609310.023617,1878618986.6576595
464,5687622018.595369,3786366235.206891
465,5207465779.218191,3652821341.5264874
466,4722048666.247311,3475300315.940954
467,4330614001.086817,3474119296.494356
468,4201997654.392621,3294259094.943379
469,3650504982.2690177,3472772160.5832286
470,3322710991.5148234,3472166557.3742094
471,3199904400.7206893,3471940800.0718584
472,3604565750.0425844,3710088955.0703754
473,4194873308.5607414,3428044259.615585
474,4662749405.990026,2711538380.7680035
475,4869814080.122172,2624224757.695796
476,5263361685.620741,2087042960.1531372
477,5599734220.278564,2000028077.3107855
478,29957428.808261577,1260517431.9810572
479,55615876.03727877,1085672580.6465778
480,312342217.62894505,906066841.7047751
481,600359079.1332123,932983767.2839338
482,742906422.4880605,920540912.767226
483,872244731.1526507,933352082.3418206
484,889962493.1505239,964825614.9225737
485,993893721.97166,1073009838.4374198
486,5618839108.797003,1563948658.5851817
487,7490974182.519129,1489621976.6933434
488,6260573350.738497,2351763111.576008
489,5724704296.359919,2218082238.962738
490,5170650337.29806,2040646288.0363882
491,4647422579.878678,2039353335.4148388
492,4307516307.691017,2038387161.881345
493,4189052910.1662283,2037935196.0292366
494,5081994801.137833,1142556308.4553595
495,5212392225.798259,1142920044.5327377
496,5484300296.804841,1381105919.1977067
497,5997067301.096405,1368569226.8013797
498,23585565.513962157,1254665617.6636498
499,49448917.409393705,1170216983.7465346
500,282638688.1022138,1213975859.8244472
501,488990026.80578256,1138790809.0769172
502,748560359.2434459,1066488347.6756072
503,755142264.7715908,963102196.6933782
504,943498952.9089892,971736414.7145778
505,886580487.1579971,919389495.9088713
506,1017066549.7428119,935027739.1295774
507,952449564.7887058,919569059.8083864
508,1086374503.2987685,979196949.646289
509,1044380073.0858955,1055246559.2340363
510,1168184135.6199408,1248458036.8452072
511,1060916642.9020091,1166035629.264628
512,1075986613.0648234,1147966694.152164
513,801260519.1277672,998760100.4472437
514,711675802.3381974,838009771.6811016
515,572904720.2524282,822399815.3546122
516,643118442.9115063,837862729.3150182
517,481690416.46212983,822218897.8646604
518,423700025.95982826,837510004.8094859
519,344293036.1137508,822007426.1502502
520,463532597.65793675,1075060348.0089114
521,515591048.6486791,1314753338.5991251
522,634254656.0433238,1330300477.8713827
523,574890477.6956052,1226836251.530619
524,690603915.8160912,1242382352.2314959
525,645232938.5167593,1138924127.0971398
526,766221131.3035583,1066475478.7522553
527,689853311.9628226,962982631.1476963
528,763221188.9463817,1113894310.1316223
529,666075908.0383254,1098369441.1103415
530,798516375.5550393,1113916935.6904428
531,724393571.1236554,1098444675.0517926
532,859780950.2297827,1158021193.7950506
533,795996725.2545755,1342425065.946352
534,6527271724.75657,1560596997.9963613
535,6344600114.208439,1848862095.8730907
536,4318500874.271432,3782909868.93351
537,3593022736.5279655,3648055872.8659
538,3406663987.702873,3471572038.189494
539,3260497241.7711115,3471259683.0669017
540,3413667339.5511518,3292322910.8524065
541,2801235010.0449343,3472017792.2055387
542,2678713628.204018,3470409613.3935385
543,2660502597.1074495,3470383117.37165
544,2785088246.6951303,3708122566.0216517
545,3262874360.6763377,3425575127.8219695
546,4001584849.864161,2709164851.984372
547,4142827588.8186045,2621504688.0367727
548,4722555323.0816555,2084488551.3648415
