index,y_true,y_pred
283,620288958.1426888,647778901.923838
284,624051080.2719171,648294743.8164667
285,624959811.4126025,600601184.7990081
286,662359345.3525329,611248550.6737722
287,685009204.6202905,645470715.2223189
288,522564028.36850333,544840941.1646761
289,356546612.9706416,368518650.9920832
290,334593843.4086004,355754811.8221699
291,325180988.8060698,340830801.7787378
292,329424506.6302006,328336480.3270486
293,118472867.72485359,166658890.33677092
294,158905142.72271368,169481672.13656384
295,96207937.10812037,145114490.7293663
296,86853619.09740753,160544367.52724782
297,78099972.9614355,134706642.34321404
298,78099972.9614355,120819104.47533369
299,117100791.92740412,69646940.28167185
300,104845178.50596413,226905542.11363885
301,257697468.2659511,381201081.62729406
302,345190709.0743094,438543173.85572535
303,564475908.0155421,659392930.9657385
304,550669846.7720104,612716389.229069
305,565533037.3618429,579487470.5874403
306,601500221.2257736,596852724.4338999
307,630197877.416911,654005033.1003039
308,644546767.951519,653646712.8330815
309,637676842.7602619,605000471.4842361
310,663815940.2980319,611962507.8128173
311,696977375.1966724,653136730.238683
312,558925956.4950538,547702722.142481
313,385976253.8763995,362889282.2980404
314,336757444.1010832,356902698.9985388
315,326441195.0815505,344090196.0838417
316,328295601.66381896,334188566.3225935
317,122855977.22866818,172333814.17811587
318,170192656.87512556,166904298.37491626
319,115336606.16690572,135300107.8671193
320,78099972.9614355,111284662.61598259
321,88038277.66719915,117355109.1997745
322,96501709.49923988,147981427.54720888
323,78099972.9614355,119902736.46619016
324,86787676.9919473,132660433.14581469
325,265363545.914345,359037198.3684692
326,348630269.4347079,471775096.58674085
327,595504918.7458681,637135217.7430886
328,593045941.7336465,557585988.0561831
329,600216250.8784813,541051724.280115
330,619370754.2314571,591052091.872277
331,631677337.8253442,650387817.7480526
332,635938085.0476085,653658847.2317183
333,624316039.6665634,610125512.7000792
334,649223461.7784934,610367648.4444213
335,693052002.5683545,660251959.2297118
336,584931349.405066,559202175.931241
337,431542739.94118786,375190293.1262084
338,373534194.108879,361900787.3402029
339,322047952.6174769,352520430.0872193
340,321134004.199786,334663586.80688727
341,168199132.6480033,175917310.80399343
342,137728346.98458537,172295352.00578475
343,96157450.44974595,144839924.04193357
344,66606321.52290234,128866487.32435897
345,94134334.43335192,143521653.14356905
346,66606321.52290234,129210566.49293366
347,66606321.52290234,108457592.72228587
348,66606321.52290234,152872670.35155952
349,263560832.90439218,349693924.5439069
350,279008533.4642426,344910575.34942794
351,341108907.70489794,401640146.8995241
352,369582975.3290285,380711308.5614729
353,373734400.2926559,367255966.8969319
354,381604021.31323785,370256076.5300169
355,324610598.74688673,331098327.1023013
356,320416480.0358665,331177630.21802837
357,322032027.3042605,335131133.76431406
358,322729109.208241,344913779.9005636
359,334379877.6005592,358592294.58928216
360,316913625.18218565,263110129.3311767
361,239834699.1809279,231675545.19404042
362,182160533.8880115,207425452.45389366
363,203657323.0717025,187023917.77934176
364,103454449.85845879,162064319.96692276
365,144918624.64883277,127225959.16569597
366,76923795.52290235,107701959.17001647
367,66606321.52290234,114867821.29899883
368,66606321.52290234,103185103.64352354
369,66606321.52290234,93056592.55313548
370,66606321.52290234,82979289.96601081
371,66606321.52290234,73931075.08081177
372,66606321.52290234,66135612.7940245
373,68754908.27317692,59039522.31578079
374,54175844.27317692,142810428.80101296
375,207299789.28595638,158013010.8598392
376,176097864.57164153,182952578.88116303
377,215068910.93684554,150155218.13203064
378,177033557.62696287,182577656.91736656
379,205806351.83215556,172435271.75157684
380,175186410.83075035,183089258.69519684
381,221164457.888244,171904806.54355586
382,182308065.35582373,188828013.2465998
383,228051730.99621895,185575517.92794093
384,190116403.11012208,199130432.03641737
385,219355764.817233,185489206.703303
386,162474533.07776052,189134120.6637437
387,181112713.50555012,166777053.60358566
388,102571270.08299099,145905908.4375216
389,154890348.08783883,135387047.84901375
390,76923795.52290235,114193676.76606694
391,66606321.52290234,113826500.76803955
392,78099972.9614355,108546933.40079525
393,78099972.9614355,96203599.64441329
394,78099972.9614355,85090006.81903598
395,78099972.9614355,73966926.0596599
396,86787676.9919473,84774637.35932946
397,266257615.03969225,330686530.92739207
398,332494456.10821337,423200449.29028815
399,548702796.7701159,642739810.127107
400,534503454.2960647,611987285.8613241
401,557360616.6534662,568834464.9080294
402,580253346.1640563,600310174.9580832
403,598263674.113676,655012319.3959484
404,602689848.3021654,673121909.9696505
405,605894759.4430189,626812324.3689711
406,642685431.2534956,633086683.1091703
407,670528719.0730039,669993664.4741316
408,548675667.1344631,552252035.1864309
409,393725745.30366135,368412908.9792023
410,339662974.2727894,358679706.3371101
411,310279578.1729563,359039045.2870323
412,314931378.20138335,345665760.3692945
413,120113237.23738523,179338711.6918147
414,152952955.3495861,177044900.28347895
415,78099972.9614355,133865702.047367
